16, 0, 72,1916
16, 0, 92,1908
16, 0, 112,1904
16, 0, 132,1904
16, 0, 148,1912
16, 0, 144,1928
16, 0, 136,1944
16, 0, 108,1948
16, 0, 132,1960
16, 0, 148,1964
16, 0, 188,1900
16, 0, 204,1896
16, 0, 220,1896
16, 0, 236,1896
16, 0, 248,1916
16, 0, 244,1932
16, 0, 228,1944
16, 0, 212,1940
16, 0, 228,1960
16, 0, 244,1972
/
8, 1, 192,1760
4, 0, 208,1760
8, 1, 192,1600
8, 1, 208,1600
3, 1, 248,1560
3, 1, 208,1560
3, 1, 192,1568
3, 1, 292,1480
3, 1, 20,1520
3, 1, 100,1472
3, 1, 228,1440
3, 1, 80,1360
3, 1, 108,1356
3, 1, 144,1352
3, 1, 192,1352
3, 1, 248,1212
3, 1, 296,1180
8, 1, 192,1296
8, 1, 200,1424
8, 1, 192,856
8, 1, 208,840
1, 0, 208,856
1, 0, 192,840
16, 0, 272,816
11, 1, 80,808
11, 1, 252,536
16, 0, 196,488
1, 0, 96,448
8, 1, 112,448
11, 0, 188,308
1, 0, 208,256
4, 0, 192,272
4, 0, 224,240
1, 0, 176,288
4, 0, 160,304
8, 1, 136,168
8, 1, 152,168
6, 1, 136,136
6, 1, 152,136
1, 0, 120,136
1, 0, 168,136
11, 1, 148,1816
2, 1, 280,1956
2, 1, 296,1948
2, 1, 316,1936
8, 1, 112,1680
1, 0, 96,1680
11, 0, 156,1484
11, 1, 156,1328
1, 0, 208,1296
3, 1, 100,1252
3, 1, 72,1136
8, 1, 200,1184
3, 1, 268,1096
3, 1, 96,1092
3, 1, 288,1288
3, 1, 272,1040
21, 0, 128,736
21, 0, 144,736
21, 0, 160,736
21, 0, 192,692
21, 0, 208,692
21, 0, 224,692
21, 0, 148,644
21, 0, 164,644
21, 0, 180,644
21, 0, 192,596
21, 0, 224,596
21, 0, 208,596
11, 0, 124,564
21, 0, 156,420
21, 0, 172,420
21, 0, 188,420
21, 0, 204,420
21, 0, 244,340
21, 0, 224,332
21, 0, 208,332
21, 0, 192,340
21, 0, 236,376
21, 0, 252,376
21, 0, 284,376
21, 0, 268,376
21, 0, 104,288
21, 0, 136,288
21, 0, 120,288
2, 1, 268,220
2, 1, 284,220
2, 1, 300,220
2, 1, 80,1824
2, 1, 60,1812
2, 1, 36,1800
2, 1, 272,1700
2, 1, 292,1692
2, 1, 312,1688
3, 1, 232,1136
3, 1, 228,1260
3, 1, 276,1392
3, 1, 220,1524
3, 1, 100,1620
3, 1, 316,1520
3, 1, 132,1416
3, 1, 284,1352
3, 1, 156,1228
3, 1, 292,1136
3, 1, 172,1048
3, 1, 240,992
3, 1, 140,948
3, 1, 296,924
3, 1, 200,904
21, 0, 76,288
/
17, 0, 256,2044
17, 0, 72,1996
17, 0, 248,1960
17, 0, 76,1920
1, 0, 236,1916
8, 1, 128,1504
1, 0, 128,1488
17, 0, 252,1856
17, 0, 212,1824
17, 0, 144,1804
17, 0, 108,1800
17, 0, 100,1752
17, 0, 56,1736
17, 0, 248,1664
17, 0, 304,1632
17, 0, 168,1608
17, 0, 200,1604
17, 0, 224,1540
17, 0, 268,1532
17, 0, 292,1472
17, 0, 64,1448
17, 0, 96,1440
17, 0, 268,1380
17, 0, 92,1340
15, 0, 96,1308
16, 0, 64,1264
17, 0, 76,1184
3, 1, 56,1172
17, 0, 228,1204
17, 0, 312,1172
17, 0, 240,1136
17, 0, 300,1088
17, 0, 260,1076
17, 0, 228,1084
4, 0, 160,1136
8, 1, 160,1152
19, 0, 308,1112
1, 0, 160,1084
4, 0, 144,1084
8, 1, 124,852
1, 0, 76,852
8, 1, 192,784
1, 0, 188,728
12, 0, 168,696
1, 0, 76,564
8, 0, 132,564
4, 0, 108,424
8, 1, 132,424
1, 0, 152,424
4, 0, 172,424
1, 0, 144,344
8, 1, 196,240
14, 1, 188,184
16, 0, 252,168
21, 0, 164,968
21, 0, 180,972
21, 0, 196,972
21, 0, 212,968
21, 0, 164,880
21, 0, 180,880
21, 0, 196,876
21, 0, 212,876
7, 0, 248,768
7, 0, 124,772
7, 0, 56,772
7, 0, 160,644
7, 0, 144,620
